Category,Variable,Unit,Definition,Core,AFOLU
Land,Agricultural Demand,million t DM/yr,"total demand for food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)",2,1
Land,Agricultural Demand|Crops,million t DM/yr,"total demand for food, non-food and feed crops and bioenergy crops (1st & 2nd generation)",2,1
Land,Agricultural Demand|Crops|Energy,million t DM/yr,demand for modern primary energy crops (1st and 2nd generation),2,1
Land,Agricultural Demand|Crops|Energy|1st generation,million t DM/yr,Demand for modern primary 1st generation energy crops,NA,1
Land,Agricultural Demand|Crops|Energy|2nd generation,million t DM/yr,Demand for modern primary 2nd generation energy crops,NA,1
Land,Agricultural Demand|Crops|Feed,million t DM/yr,total demand for feed crops,NA,1
Land,Agricultural Demand|Crops|Food,million t DM/yr,total demand for food crops,NA,1
Land,Agricultural Demand|Crops|Other,million t DM/yr,total demand for other crops,NA,1
Land,Agricultural Demand|Livestock,million t DM/yr,total demand for livestock,2,1
Land,Agricultural Demand|Livestock|Food,million t DM/yr,total demand for food livestock,NA,1
Land,Agricultural Demand|Livestock|Other,million t DM/yr,total demand for other livestock,NA,1
Land,Agricultural Production,million t DM/yr,"total production of food, non-food and feed products (crops and livestock) and bioenergy crops (1st & 2nd generation)",2,1
Land,Agricultural Production|Energy,million t DM/yr,total bioenergy-related agricultural production (including waste and residues),2,1
Land,Agricultural Production|Energy|Crops,million t DM/yr,production for modern primary energy crops (1st and 2nd generation),NA,1
Land,Agricultural Production|Energy|Residues,million t DM/yr,production of agricultural residues for modern bioenergy production,NA,1
Land,Agricultural Production|Non-Energy,million t DM/yr,"total production for food, non-food and feed products (crops and livestock)",2,1
Land,Agricultural Production|Non-Energy|Crops,million t DM/yr,"total production for food, non-food and feed products (crops)",NA,1
Land,Agricultural Production|Non-Energy|Livestock,million t DM/yr,total production for livestock products,NA,1
CCS,Carbon Sequestration|CCS,Mt CO2/yr,"total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",1,1
CCS,Carbon Sequestration|CCS|Biomass,Mt CO2/yr,"total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers",1,1
CCS,Carbon Sequestration|Land Use,Mt CO2/yr,"total carbon dioxide sequestered through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar)",1,1
